0,1,2,3,4,5,6,7,8,9
42,64,64,123,126,172,171,206,220,236
44,67,64,127,160,171,171,195,235,256
44,60,64,112,138,155,171,190,214,223
37,75,64,126,136,154,171,213,224,259
48,67,64,118,145,175,171,199,208,289
49,77,64,125,136,144,171,212,222,263
45,58,64,113,115,185,171,231,252,242
47,67,64,116,128,174,171,200,222,244
35,66,64,102,140,150,171,198,224,229
47,75,64,106,131,148,171,210,254,274
52,65,64,118,144,147,171,194,231,266
42,74,64,116,144,164,171,222,238,243
38,69,64,105,120,148,171,216,219,256
43,65,64,113,108,153,171,194,210,231
61,74,64,105,122,173,171,216,214,228
47,70,64,126,149,189,171,216,238,250
47,64,64,107,128,148,171,189,249,272
42,64,64,110,142,148,171,219,237,240
43,67,64,114,137,154,171,190,232,285
40,53,64,110,160,171,171,201,225,264
35,65,64,121,142,157,171,233,193,239
42,63,64,132,154,188,171,211,225,239
40,64,64,122,134,166,171,202,239,259
47,61,64,110,138,188,171,208,246,258
45,76,64,108,111,158,171,178,212,253
52,71,64,108,141,182,171,210,249,248
37,68,64,113,132,159,171,184,230,245
40,68,64,108,131,176,171,226,219,277
52,81,64,135,156,161,171,209,215,275
44,63,64,111,142,158,171,199,261,245
43,80,64,118,145,164,171,198,242,251
47,72,64,136,142,165,171,228,250,256
43,63,64,111,148,155,171,201,246,237
35,70,64,128,145,159,171,198,219,257
45,75,64,104,143,176,171,215,229,253
42,58,64,117,138,157,171,204,231,222
44,60,64,121,136,170,171,217,228,247
50,71,64,119,134,165,171,194,226,276
42,63,64,98,145,151,171,188,234,246
34,60,64,122,146,158,171,247,238,258
34,63,64,110,131,142,171,228,248,250
47,53,64,108,142,138,171,228,237,238
35,69,64,106,132,146,171,217,229,231
46,75,64,121,132,139,171,218,224,243
45,73,64,129,157,169,171,196,221,248
42,73,64,113,126,151,171,197,221,230
48,69,64,127,121,191,171,204,224,234
36,56,64,107,112,147,171,211,219,247
36,58,64,117,128,152,171,210,216,267
53,68,64,153,161,162,171,216,221,264
37,61,64,116,143,163,171,195,250,250
41,71,64,124,137,162,171,203,219,225
44,70,64,118,149,177,171,219,207,236
49,55,64,116,133,156,171,194,225,247
48,69,64,110,132,156,171,187,206,247
41,76,64,116,151,147,171,227,226,255
48,72,64,115,135,166,171,196,246,244
48,70,64,124,133,172,171,200,228,264
41,74,64,137,164,183,171,217,224,240
52,76,64,108,134,162,171,201,212,237
50,65,64,109,135,147,171,183,246,237
43,65,64,115,124,149,171,217,207,233
43,71,64,116,136,189,171,203,243,263
38,61,64,111,134,164,171,206,213,261
52,77,64,118,131,151,171,180,242,274
53,76,64,138,161,157,171,210,241,277
35,65,64,125,133,146,171,198,229,231
45,58,64,141,166,154,171,215,249,256
49,68,64,119,148,162,171,204,218,230
42,63,64,102,132,156,171,195,238,240
48,75,64,123,124,153,171,213,214,228
36,68,64,110,131,150,171,217,225,265
45,67,64,129,134,168,171,179,236,232
41,62,64,127,130,150,171,208,243,235
35,66,64,111,126,153,171,189,229,236
54,80,64,123,141,155,171,185,247,286
52,61,64,119,128,172,171,229,248,267
45,82,64,122,149,173,171,209,247,252
49,61,64,112,121,143,171,196,238,246
46,72,64,115,158,161,171,198,224,246
42,59,64,117,135,136,171,214,219,271
31,61,64,116,126,134,171,212,225,241
44,72,64,118,156,165,171,200,219,239
43,71,64,115,140,173,171,207,245,242
42,71,64,127,155,195,171,214,231,255
52,71,64,98,121,125,171,204,209,281
46,74,64,121,151,181,171,199,216,219
50,70,64,113,128,161,171,212,226,247
51,83,64,119,140,175,171,194,226,260
47,64,64,121,154,180,171,218,223,279
47,68,64,112,146,167,171,213,239,229
46,62,64,121,143,148,171,191,244,280
47,74,64,129,161,176,171,207,256,235
45,68,64,114,148,152,171,198,232,252
43,71,64,110,136,149,171,203,274,269
50,69,64,126,132,167,171,207,237,242
51,73,64,103,128,149,171,191,226,267
44,75,64,131,143,148,171,206,267,272
48,62,64,119,126,159,171,178,233,259
40,64,64,115,138,171,171,203,232,245
