0,1,2,3,4,5,6,7,8,9
48,61,75,118,132,173,172,222,238,276
40,59,75,129,158,171,172,220,227,265
38,65,75,102,151,175,172,220,210,246
50,76,75,126,152,162,172,215,246,244
40,73,75,106,145,160,172,225,214,236
51,79,75,117,136,152,172,194,233,248
37,72,75,108,118,143,172,174,225,277
45,66,75,107,140,171,172,208,222,250
36,62,75,108,143,132,172,205,240,274
43,75,75,125,147,162,172,216,212,273
50,70,75,112,141,152,172,229,235,265
44,68,75,119,123,147,172,225,242,261
40,66,75,110,138,177,172,202,232,265
46,64,75,101,125,156,172,184,234,239
46,70,75,121,135,145,172,195,219,257
47,72,75,129,148,150,172,222,220,253
43,68,75,112,132,156,172,205,211,223
42,65,75,111,126,151,172,211,239,241
44,69,75,107,133,170,172,218,245,266
36,67,75,112,148,153,172,248,236,233
38,61,75,115,127,162,172,184,224,233
44,67,75,127,158,159,172,198,239,202
42,65,75,116,142,172,172,213,233,270
40,66,75,113,156,184,172,203,253,262
45,66,75,102,122,138,172,203,239,252
50,68,75,108,146,188,172,207,246,234
47,61,75,113,114,159,172,217,212,227
50,65,75,117,138,176,172,210,205,273
51,79,75,121,147,170,172,205,227,279
47,62,75,114,136,139,172,217,220,248
55,77,75,125,138,180,172,205,225,274
42,88,75,126,132,152,172,239,234,266
39,67,75,115,132,168,172,201,213,238
48,69,75,112,153,161,172,193,206,231
41,74,75,116,130,166,172,221,207,244
40,57,75,123,132,177,172,199,216,232
42,62,75,93,136,151,172,222,230,248
45,55,75,119,140,175,172,192,243,242
42,69,75,147,153,173,172,206,234,244
37,56,75,120,146,166,172,195,227,217
37,69,75,123,132,148,172,181,225,257
42,57,75,107,139,152,172,220,232,237
43,66,75,110,129,149,172,221,228,235
43,78,75,119,131,147,172,198,227,219
47,82,75,115,137,162,172,187,205,244
46,63,75,116,143,148,172,204,225,223
44,78,75,125,150,156,172,226,247,260
39,60,75,97,133,139,172,187,261,241
44,63,75,123,121,167,172,211,214,249
43,66,75,101,137,163,172,196,237,242
42,67,75,120,130,167,172,175,215,254
41,70,75,122,138,170,172,215,230,225
45,70,75,124,137,175,172,199,230,241
44,63,75,120,135,152,172,192,223,256
45,73,75,105,132,165,172,194,221,260
38,80,75,120,134,162,172,232,241,241
48,84,75,120,133,150,172,216,238,238
44,71,75,113,154,169,172,210,212,251
43,81,75,129,148,157,172,221,230,308
58,74,75,119,131,161,172,220,217,241
45,62,75,116,139,163,172,200,251,257
45,63,75,116,139,153,172,209,202,231
46,71,75,106,147,175,172,241,233,251
39,62,75,115,126,153,172,211,255,243
51,73,75,118,139,148,172,176,237,288
38,64,75,130,132,166,172,202,205,295
39,65,75,120,144,150,172,225,263,239
43,60,75,134,148,176,172,213,214,276
48,78,75,117,146,160,172,218,225,269
42,66,75,121,130,151,172,205,230,245
43,71,75,112,143,140,172,184,224,256
37,74,75,117,153,167,172,218,201,282
40,72,75,120,132,160,172,186,200,267
41,65,75,126,140,153,172,174,233,242
35,79,75,114,117,163,172,206,218,231
54,71,75,113,126,174,172,202,236,257
47,62,75,112,150,172,172,192,244,224
44,75,75,132,155,175,172,210,243,237
51,61,75,132,121,150,172,206,243,261
50,75,75,114,145,179,172,211,232,243
46,62,75,108,112,154,172,208,219,267
50,75,75,111,119,177,172,197,216,242
43,73,75,106,163,167,172,210,234,262
50,72,75,126,130,165,172,217,213,243
45,69,75,104,141,162,172,229,234,265
51,69,75,121,128,140,172,220,228,254
47,70,75,114,168,177,172,215,224,256
44,72,75,112,137,158,172,218,229,269
47,76,75,141,148,163,172,195,225,260
50,66,75,123,144,165,172,195,243,258
46,74,75,114,135,186,172,214,220,226
40,76,75,117,124,150,172,190,251,263
53,68,75,133,155,161,172,206,229,280
45,62,75,115,121,152,172,191,212,217
42,69,75,113,136,152,172,178,239,274
45,89,75,117,140,158,172,213,230,235
42,71,75,114,133,159,172,214,235,227
40,70,75,127,143,170,172,205,257,253
53,66,75,110,137,143,172,212,241,282
48,75,75,127,151,172,172,190,236,253
