0,1,2,3,4,5,6,7,8,9
14,15,19,22,32,39,34,48,48,55
9,12,19,20,24,29,34,41,48,48
5,12,19,20,24,26,34,35,42,48
10,17,19,30,38,44,34,54,56,58
8,13,19,31,32,34,34,43,50,53
10,23,19,31,32,34,34,52,66,70
9,13,19,29,31,36,34,42,60,62
10,15,19,25,34,37,34,50,52,57
7,11,19,17,27,28,34,32,42,46
11,16,19,29,37,41,34,53,56,67
9,16,19,26,41,44,34,46,47,50
9,15,19,23,29,33,34,46,55,58
10,22,19,27,31,33,34,56,58,59
11,19,19,28,34,36,34,42,45,50
11,18,19,28,34,33,34,44,45,53
7,11,19,22,28,31,34,49,52,61
8,17,19,27,31,34,34,46,47,56
6,15,19,25,29,32,34,37,40,54
12,14,19,28,32,32,34,51,57,56
5,9,19,27,32,33,34,33,40,42
13,14,19,25,31,35,34,40,43,45
8,16,19,29,34,36,34,47,51,53
10,14,19,20,23,37,34,39,41,47
16,21,19,27,32,34,34,44,62,63
11,15,19,31,34,39,34,43,49,62
9,17,19,40,39,45,34,48,53,53
11,15,19,24,36,36,34,48,48,51
11,18,19,32,33,35,34,46,54,60
12,12,19,36,36,40,34,57,61,62
12,15,19,29,37,40,34,44,60,63
10,11,19,27,34,40,34,45,51,54
8,11,19,22,31,34,34,50,65,71
10,17,19,22,26,31,34,40,40,50
8,12,19,20,43,46,34,59,64,66
11,22,19,26,30,48,34,59,58,62
12,21,19,23,29,31,34,41,44,46
10,20,19,27,28,33,34,44,45,48
11,16,19,29,29,35,34,43,52,53
10,15,19,29,30,39,34,46,49,46
10,12,19,21,30,31,34,43,46,47
10,13,19,20,27,27,34,41,44,46
10,12,19,22,24,27,34,34,36,47
6,9,19,21,28,34,34,41,41,44
9,14,19,29,32,33,34,35,51,58
10,15,19,19,31,44,34,49,52,57
11,16,19,26,30,38,34,42,45,51
8,12,19,22,27,30,34,51,54,57
11,14,19,15,23,28,34,38,39,43
11,18,19,22,29,35,34,41,39,45
12,18,19,25,33,35,34,39,53,60
8,12,19,24,28,30,34,44,44,46
8,11,19,17,22,30,34,53,54,66
16,20,19,34,37,48,34,55,56,56
7,17,19,28,35,36,34,51,63,65
13,16,19,28,33,41,34,49,59,69
12,18,19,25,27,35,34,57,58,60
13,19,19,27,31,37,34,41,56,58
12,16,19,26,37,42,34,45,49,55
10,10,19,29,31,38,34,63,64,69
12,18,19,26,34,46,34,54,65,66
11,17,19,26,30,35,34,43,43,52
12,17,19,25,37,39,34,39,44,69
9,14,19,31,32,35,34,38,51,57
9,11,19,20,22,40,34,46,46,46
11,25,19,34,41,45,34,55,59,64
10,16,19,25,26,34,34,46,57,58
5,9,19,17,21,26,34,41,41,49
14,18,19,24,34,38,34,46,46,52
9,15,19,27,30,32,34,49,55,59
11,15,19,19,27,32,34,36,47,47
10,18,19,26,34,44,34,50,57,60
11,16,19,24,27,35,34,46,51,59
8,12,19,21,25,41,34,53,60,60
11,17,19,23,31,37,34,50,50,59
8,12,19,21,28,29,34,39,48,58
14,19,19,30,35,43,34,55,58,64
7,11,19,27,33,37,34,45,48,47
12,16,19,32,35,44,34,54,59,61
10,19,19,32,33,34,34,38,39,42
11,17,19,28,39,46,34,50,57,57
10,16,19,24,28,35,34,41,48,50
9,11,19,14,22,35,34,41,44,47
11,15,19,24,30,30,34,32,42,50
10,14,19,34,38,47,34,53,55,58
8,16,19,22,27,28,34,35,55,58
11,18,19,29,40,45,34,48,49,60
14,20,19,27,29,33,34,46,52,56
6,11,19,29,32,35,34,45,50,50
14,21,19,34,37,40,34,52,63,62
9,18,19,29,36,41,34,44,54,52
8,16,19,33,37,38,34,43,54,57
9,14,19,30,32,40,34,43,42,50
12,15,19,26,36,37,34,45,53,57
11,16,19,24,26,36,34,44,62,65
8,12,19,24,28,29,34,37,50,54
12,14,19,36,37,49,34,60,67,76
13,16,19,25,28,34,34,37,41,47
7,9,19,19,22,29,34,41,50,55
13,17,19,32,33,38,34,40,43,45
15,19,19,25,25,34,34,50,55,56
